text,department
experiencing severe burning urination since 3 days. it is not improving.,Urology
there is pressure in chest happening since 2 days.,Cardiology
i have been experiencing severe breathing issue for 2 days. i am very worried.,Emergency
dealing with double vision for a week now. i am very worried.,Ophthalmology
i feel shoulder pain continuously for a week. it is getting worse.,Orthopedics
facing lower abdominal pain and it feels serious. it is not improving.,Urology
experiencing severe rash in child since 3 days.,Pediatrics
there is shortness of breath happening since few hours. the pain is increasing.,Pulmonology
experiencing severe voice hoarseness since past 4 days. it is getting worse.,ENT
there is menstrual cramps happening since since morning. the pain is increasing.,Gynecology
i feel accident injury continuously for past 4 dacs. i am very worried.,Emergency
there is menstrual cramps happening since past 4 days. it started suddenly.,Gynecology
dealing with fever for since morning now.,General Medicine
i feel stress continuously for few hours.,Psychiatry
i feel chest congestiun continuously for few hours. it started suddenly.,Pulmonology
having diarrhea from past 3 days.,Gastroenterology
i have been experiencing memory loss for one day. it started suddenly.,Neurology
i feel shortness of breath continuously for since morning. it is getting worse.,Pulmonology
suffering from ear discharge since since morning.,ENT
i have been experiencing thyroid problem for one day. it is getting worse.,Endocrinology
experiencing severe vaginal discharge since past 4 days. it is not improving.,Gynecology
having headache from past past 4 days. the pain is increasing.,Neurology
suffering from high blood sugar since since morning. it started suddenly.,Endocrinology
i feel tightness in chest continuously for one day. it started suddenly.,Cardiology
i feel vomiting continuously for a week. the pain is increasing.,Gastroenterology
suffering from vomiting since few hours. it is not improving.,Gastroenterology
dealing with fatigue for since morning now. it started suddenly.,Endocrinology
dealing with joint swelling for few hours now. it is getting worse.,Orthopedics
there is mood swings happening since 3 days. it is not improving.,Psychiatry
dealing with eye redness for 2 days now. it is not improving.,Ophthalmology
there is excess thirst happening since past 4 days. it started suddenly.,Endocrinology
facing hormone imbalance and it feels serious. it started suddenly.,Endocrinology
dealing with tightness in chest for last night now. i am very worried.,Cardiology
suffering from blood in urine since few hours.,Urology
memory loss is bothering me for 2 days.,Neurology
i have been experiencing body pain for few hours. the pain is increasing.,General Medicine
having pelvic pain from past since morning. it is getting worse.,Gynecology
i have been experiencing ear pain for 2 days. it is getting worse.,ENT
facing numbness in hand and it feels serious. it is not improving.,Neurology
there is irregular periods happening since one day. it is getting worse.,Gynecology
experiencing severe voice hoarseness since a week. the pain is increasing.,ENT
i feel eye pain continuouslycfor two weeks. the pain is increasing.,Ophthalmology
there is urine infection happening since last night. it is getting worse.,Urology
facing urine infection and it feels serious.,Urology
i have been experiencing child cough for last night.,Pediatrics
r feel high blood sugar continuously for 3 days. i am very worried.,Endocrinology
dealing with mood swings for since morning now. it iq not improving.,Psychiatry
i feel child coughgcontinuously for 2 days. it started suddenly.,Pediatrics
dealing with lower abdominal pain for last night now. the pain is increasing.,Urology
dealing with menstrual cramps for two weeks now. the pain is increasing.,Gynecology
dealing with breathing difficulty for two weeks now. it is getting worse.,Pulmonology
body pain is bothering me for past 4 days. it is not improving.,General Medicine
having dizziness from past 2 days. i am very worried.,Neurology
having rapid heartbeat from past since morning. the pain is increasing.,Cardiology
breathing difficulty is bothering me for 2 days. i am very worried.,Pulmonology
having general discomfort from past one day. i am very worried.,General Medicine
facing blocked nose and it feels serious. it started suddenly.,ENT
i have been experiencing severe chest pain for last night. the pain is increasing.,Emergency
having fracture from past a week. i am very worried.,Orthopedics
shortness of breath is bothering me for 2 days.,Cardiology
experiencing severe general discomfort since 2jdays. it is getting worse.,General Medicine
i feel memory loss continuously for one day. it is getting worse.,Neurology
there is panic attacks happening since last night. it started suddenly.,Psychiatry
i feel anxiety continuously for 3 days.,Psychiatry
i feel watery eyes continuously for two weeks. it is not improving.,Ophthalmology
experiencing severe cold and cough since one day. it is not improving.,General Medicine
facing urine infection and it feels serious. it started suddenly.,Urology
i have been experiencing pelvic pain for since morning. it is not improving.,Gynecology
i have been experiencing dry eyes for few hours. it started suddenly.,Ophthalmology
dealing with joint swelling for two weeks now. it is getting worse.,Orthopedics
i feel eye redness continuously for past 4 days.,Ophthalmology
i have been experiencing menstrual cramps for few hours. it is getting worse.,Gynecology
i feel cough continuously for few hours. it is not improving.,Pulmonology
experiencing severe fatigue since past 4 days. it is not improving.,Endocrinology
i have been experiencing migraine for last night.,Neurology
there is ear discharge happening since last night. it is not improving.,ENT
facing panic attacks and it feels serious.,Psychiatry
dealing with depression for last night now. it is getting worse.,Psychiatry
facing knee pain and it feels serious. i am very worried.,Orthopedics
dealing with eye pain for 3 days now. i am very worried.,Ophthalmology
experiencing severe excess thirst since last night. i am very worried.,Endocrinology
dealing with pressure in chest for last night now. i am very worried.,Cardiology
having dry eyes from past two weeks. it is getting worse.,Ophthalmology
dealing with weight gain for since morning now. it started suddenly.,Endocrinology
child cough is bothering me for 3 days. the pain is increasing.,Pediatrics
facing shortness of breath and it feels serious. it started suddenly.,Cardiology
dealing with vaginal discharge for 3 days now. the pain is increasing.,Gynecology
facing child cold and it feels serious. the pain is increasing.,Pediatrics
suffering from sinus pain since 3 days. it is getting worse.,ENT
rapid heartbeat is bothering me for a week. it started suddenly.,Cardiology
there is chest pain happening since a week. it is getting worse.,Cardiology
having watery eyes from past few hours.,Ophthalmology
dealing with pressure in chest for a week now.,Cardiology
i feel knee pain continuously for 2 days. the pain is increasing.,Orthopedics
facing shoulder pain and it feels serious. it is getting worse.,Orthopedics
there is diarrhea happening since 2 days. the pain is increasing.,Gastroenterology
i feel eye redness continuously for two weeks. it is getting worse.,Ophthalmology
having child cold from past since morning.,Pediatrics
experiencing severe child cold since few hours. it is getting worse.,Pediatrics
tightness in chest is bothering me for since morning. i am very worried.,Cardiology
dealing with pressure in chest for past 4 days now. it started suddenly.,Cardiology
suffering from anxiety since 2 days. the pain is increasing.,Psychiatry
i feel period delay continuously for a week. it is not improving.,Gynecology
there is sore throat happening since last night. i am very worried.,ENT
i have been experiencing numbness in hand for 2 days. it is not improving.,Neurology
suffering from blood in urine since last night. it started suddenly.,Urology
i feel acne continuously for past 4 days. i am very worried.,Dermatology
accident injury is bothering me for few hours. it is getting worse.,Emergency
i have been experiencing accident injury for 2 days. it is getting worse.,Emergency
i feel pressure in chest continuously for one day. it is nom improving.,Cardiology
having itching from past a week.,Dermatology
having migraine from past since morning.,Neurology
there is menstrual cramps happening since 3 days. it is getting worse.,Gynecology
there is vaginal discharge happening since few hours.,Gynecology
having hormone imbalance from past 2 days.hi am very worried.,Endocrinology
pressure in chest is bothering me for since morning.,Cardiology
experiencing severe accident injury since two weeks. it started suddenly.,Emergency
there is fatigue happening since two weeks. it started suddenly.,Endocrinology
suffering from blocked nose since one day. i am very worried.,ENT
dealing with sinus pain for a week now.,ENT
i feel wheezing continuously for few hours.,Pulmonology
having chest pain from past last night. i am very worried.,Cardiology
facing dizziness and it feels serious. the pain is increasing.,Neurology
facing diarrhea and it feels serious.,Gastroenterology
there is ear pain happening since since morning. it is getting worse.,ENT
i feel breathing difficulty continuously for past 4 days. it started suddenly.,Pulmonology
i have been experiencing cough for 3 days. the pain if increasing.,Pulmonology
i have been experiencing stress for few hours.,Psychiatry
suffering from chest congestion since two weeks. it is getting worse.,Pulmonology
i feel knee pain continuously for 3 days. the pain is increasing.,Orthopedics
dealing with lower abdominal pain for a week now. it is getting worse.,Urology
there if stress happening since 2 days.,Psychiatry
experiencing severe ear discharge since past 4 days. the pain is increasing.,ENT
dealing with skin irritation for since morning now. i am very worried.,Dermatology
suffering from cough since one day.,Pulmonology
experiencing severe accident injury since one day. it started suddenly.,Emergency
having child cough from past 3 days. the pain is increasing.,Pediatrics
having weight gain from past 2 days.,Endocrinology
experiencing severe weakness since last night. it is not improving.,General Medicine
i feel shoulder pain continuously for 3 days. it is not improving.,Orthopedics
experiencing severe viral infection since last night.,General Medicine
experiencing severe shoulder pain since 2 days. the pain is increasing.,Orthopedics
suffering from back pain since last night. it is not improving.,Orthopedics
i have been experiencing itching for last night. it is not improving.,Dermatology
dealing with heart palpitations for two weeks now. the pain is increasing.,Cardiology
suffering from lower abdominal pain since since morning. it started suddenly.,Urology
facing tightness in chest and it feels serious. the pain is increasing.,Cardiology
facing accident injury and it feels serious. i am very worried.,Emergency
wealing with sinus pain for 2 days now. it is getting worse.,ENT
there is ankle injury happening since past 4 days. it started suddenly.,Orthopedics
knee pain is bothering me for last night. it is not improving.,Orthopedics
i feel irregular periods continuously for 2 days. it started suddenly.,Gynecology
blood in urine is bothering me for 3 days. it is getting worse.,Urology
mood swings is bothering me for a week.,Psychiatry
experiencing severe shortness of breath since 2 days. it is not improving.,Pulmonology
i have been experiencing back pain for past 4 days. it is getting worse.,Orthopedics
there is acid reflux happening since a week. i am very worried.,Gastroenterology
experiencing severe weight gain since last night.,Endocrinology
experiencing severe red spots on skin since few hours. it is getting worse.,Dermatology
suffering from viral infection since 2 days. i am very worried.,General Medicine
experiencing severe watery eyes since since morning.,Ophthalmology
back pain is bothering me for one day. i am very worried.,Orthopedics
facing mood swings and it feels serious. it is getting worse.,Psychiatry
suffering from voice hoarseness since few hours. it started suddenly.,ENT
there is rapid heartbeat happening since 2 days. it started suddenly.,Cardiology
i feel weakness continuously for 3 days. i am very worried.,General Medicine
there is excess thirst happening since few hours. i am very worried.,Endocrinology
there is skin irritation happening since two weeks.,Dermatology
having diarrhea from past since morning. it started suddenly.,Gastroenterology
i feel skin irritation continuously for sigce morning. it started suddenly.,Dermatology
there is back pain happening since one day. the pain is increasing.,Orthopedics
acid reflux is bothering me for few hours.,Gastroenterology
facing lower abdominal pain and it feels serious. i am very worried.,Urology
dealing with double vision for two weeks now. the pain is increasing.,Ophthalmology
i have been experiencing seizures for past 4 days. it is not improving.,Neurology
experiencing severe back pain since 2 days. it is getting worse.,Orthopedics
i feel general discomfort continuously for past 4 days. it is not improving.,General Medicine
suffering from anxiety since few hours. it started suddenly.,Psychiatry
having urine infection from past past 4 days. it started suddenly.,Urology
i have been experiencing hormone imbalance for one day. it is not improving.,Endocrinology
suffering from shoulder pain since 2 days. the pain is increasing.,Orthopedics
having high blood sugar from past a week. the pain is increasing.,Endocrinology
i have been experiencing wheezing for 2 days. i am very worried.,Pulmonology
frequent urination is bothering me for 3 days. it is getting worse.,Urology
dizziness is bothering me for two weeks.,Neurology
experiencing severe acne since one day. it is not improving.,Dermatology
i feel urine infection continuously for a week. i am very worried.,Urology
there is severe chest pain happening since two weeks. it started suddenly.,Emergency
having pelvic pain from past 3 days. the pain is increasing.,Gynecology
dealing with pelvic pain for 3 days now. it is not improving.,Gynecology
experiencing severe shortness of breath since past 4 days. it started suddenly.,Cardiology
there is acne happening since 3 days. it is not improving.,Dermatology
facing dizziness and it feels serious. it is not improving.,Neurology
dealing with fatigue for past 4 days now. it is getting worse.,Endocrinology
i feel acid reflux continuously for 2 days. it is not improving.,Gastroenterology
i have been experiencing severe chest pain for since morning. the pain is increasing.,Emergency
i have been experiencing blood in urine for one day. it started suddenly.,Urology
bloating is bothering me for two weeks. it is getting worse.,Gastroenterology
having heavy bleeding from past 3 days. the pain is increasing.,Emergency
i have been experiencing voice hoarseness for one day.,ENT
eye pain is bothering me for 2 days.,Ophthalmology
i feel severe breathing issue continuously for 2 days. i am very worried.,Emergency
there is rash in child happening since 3 days. it started suddenly.,Pediatrics
dealing with menstrual cramps for few hours now. it started suddenly.,Gynecology
there is itching happening since one day. it is getting worse.,Dermatology
there is accident injury happening since two weeks. the pain is increasing.,Emergency
i feel eye pain continuously for last night. it started suddenly.,Ophthalmology
frpquent urination is bothering me for past 4 days. it is not improving.,Urology
having tightness in chest from past since morning. it is not improfing.,Cardiology
dealing with depression for two weeks now. the pain is increasing.,Psychiatry
experiencing severe depression since last nigvt. the pain is increasing.,Psychiatry
i have been experiencing chest congestion for past 4 days. it started suddenly.,Pulmonology
i have been experiencing fever for a week. it is not improving.,General Medicine
experiencing severe migraine since few hours. it is getting worse.,Neurology
there is blocked nose tappening since a week. it is getting worse.,ENT
suffering from vomiting in child since one day. it is getting worse.,Pediatrics
suffering from seizures since 3 days. it is not improving.,Neurology
stress is bothering me for one day. i am very worried.,Psychiatry
dealing with accident injury for few hours now. it is not improving.,Emergency
dealing with child cold for last night now. it is getting worse.,Pediatrics
dealing with eczema for a week now. i am very worried.,Dermatology
i have been experiencing diarrhea for last night. the pain is increasing.,Gastroenterology
i feel shortness of breath continuously for a week. it is getting worse.,Pulmonology
facing child cough and it feels serious. the pain is increasing.,Pediatrics
having cold and cough from past a week. it started suddenly.,General Medicine
i have been experiencing sore throat for since morning. it is getling worse.,ENT
there is fever happening since few hours. it started suddenly.,General Medicine
suffering from viral infection since two weeks. it is getting worse.,General Medicine
i feel major trauma continuously for 2 days.,Emergency
experiencing severe pelvic pain since few hours. it is not improving.,Gynecology
dealing with sore throat for 3 days now. it is not improving.,ENT
facing sinus pain and it feels serious. i am very worried.,ENT
dealing with high blood sugar for a week now. it started suddenly.,Endocrinology
weakness is bothering me for few hours. it started suddenly.,General Medicine
i feel sore throat continuously for 3 days.,ENT
dealing with cold and cough for 3 days now. it is not improving.,General Medicine
dealing with red spots on skin for one day now. it started suddenly.,Dermatology
i have been experiencing abdominal cramps for 3 days. it is not improving.,Gastroenterology
experiencing severe accident injury since 3 days. it started suddenly.,Emergency
having memory loss from past two weeks. it started suddenly.,Neurology
dealing with mood swings for two weeks now.,Psychiatry
experiencing severe tightness in chest since 3 days.,Cardiology
wheezing is bothering me for 2 days. the pain is increasing.,Pulmonology
dealing with joint swelling for s days now. it started suddenly.,Orthopedics
there is fracture happening since two weeks.,Orthopedics
there is body pain happening since one day. it is not improving.,General Medicine
suffering from eczema since past 4 days. i am very worried.,Dermatology
facing numbness in hand and it feels serious. i am very worried.,Neurology
there is seizures happening since past 4 days. i am very worried.,Neurology
there is eczema happening since few hours. i am very worried.,Dermatology
i feel heavy bleeding continuously for past 4 days. it is not improving.,Gynecology
dealing with breathing difficulty for 2 days now.,Pulmonology
i feel child cough continuously for past 4 days. it started svddenly.,Pediatrics
having knee pain hrom past last night. i am very worried.,Orthopedics
experiencing severe child fever since two weeks. it is getting worse.,Pediatrics
voice hoarseness is bothering me for two weeks. it is getting worse.,ENT
there is breathing difficulty happening since few hours. it started suddenly.,Pulmonology
facing thyroid problem and it feels serious. it is getting worse.,Endocrinology
there is fracture happening since 3 days. it started suddenly.,Orthopedics
facing ear discharge and it feels serious. it started suddenly.,ENT
there is chest pain happening since a week.,Cardiology
shortness of breath is bothering me for last night.,Pulmonology
facing shortness of breath and it feels sergous. i am very worried.,Cardiology
there is skin irritation happening since few hours.,Dermatology
there is headache happening since past 4 days. i am very worried.,Neurology
facing mood swings and it feels serious. it is not improving.,Psychiatry
i feel dizziness continuously for past 4 days. it is not improving.,Neurology
i feel eczema continuously for few hours. it is not improving.,Dermatology
i feel acne continuously for two weeks. the pain is increasing.,Dermatology
eye redness is bothering me for few hours. it is not improving.,Ophthalmology
having headache from past past 4 days.,Neurology
suffering from cough since two weeks.,Pulmonology
having stomach pain from past few hours. the pain is increasing.,Gastroenterology
i feel ear discharge continuously for two weeks. i am very worried.,ENT
suffering from blocked nose since past 4 days. i am very worried.,ENT
acne is bothering me for 2 days. it started suddenly.,Dermatology
i feel weight gain continuously for since morning. i am very worried.,Endocrinology
panic attacks is bothering me for 2 days. i am very worried.,Psychiatry
pain while urinating is bothering me for past 4 days. it is getting worse.,Urology
i have been experiencing general discomfort for one day.,General Medicine
severe chest pain is bothering me for few hours. the pain is increasing.,Emergency
suffering from dhild cough since last night. it is getting worse.,Pediatrics
suffering from major trauma since since morning. the pain is increasing.,Emergency
dealing with frequent urination for one day now. it started suddenly.,Urology
there is depression happening since 2 days. it is not improving.,Psychiatry
dealing with stress for few hours now. it is not improving.,Psychiatry
having panic attacks from past a week. it is not improving.,Psychiatry
i feel period delay continuously for past 4 days. it started suddenly.,Gynecology
there is ankle injury happening since 2 days. the pain is increasing.,Orthopedics
i have been experiencing burning urination for 3 days. it started suddenly.,Urology
shoulder pain is bothering me for few hours. i am very worried.,Orthopedics
fatigue is botaering me for a week. it started suddenly.,Endocrinology
there is persistent cough happening since last night.,Pulmonology
having bloating from past few hours. the pain is increasing.,Gastroenterology
chest pain is bothering me for past 4 days. it started suddenly.,Cardiology
i feel weakness continuously for one day.,General Medicine
having rash in child from past one day.,Pediatrics
there is shortness of breath happening since one day. it started suddenly.,Cardiology
i feel blocked nose continuously for last night. the pain is increasing.,ENT
i feel bloating continuously for a week. the pain is increasing.,Gastroenterology
shoflder pain is bothering me for since morning.,Orthopedics
shortness of breath is bothering me for a week. it is not improving.,Pulmonology
suffering from pelvic pain since few hours. it is getting worse.,Gynecology
there is shoulder pain happening since one day.,Orthopedics
i have been expwriencing pressure in chest for two weeks. it started suddenly.,Cardiology
dealing with eye redness for few hours now.,Ophthalmology
i have been experiencing rash in child for few hours. the pain is increasing.,Pediatrics
dealing with urine infection for last night now. i am very worried.,Urology
having pressure in chest from past 3 days. i am very worried.,Cardiology
there is chest pain happening since 2 days. it is getting worse.,Cardiology
thyroid problem is bothering me for since morning. it started suddenly.,Endocrinology
i havedbeen experiencing joint swelling for few hours. it is getting worse.,Orthopedics
there is sinus pain happening since two weeks. it is not improving.,ENT
vomiting in child is bothering me for last night.,Pediatrics
dealing with fatigue for a week now. i am very worried.,Endocrinology
having frequent urination from past a week. it is getting worse.,Urology
i have been experiencing pelvic pain for last night. it started suddenly.,Gynecology
facing thyroid problem and it feels serious.,Endocrinology
having persistent cough from past since morning. it started suddenly.,Pulmonology
experiencing severe accident injury since few hours. the pain is increasing.,Emergency
i have been experiencing excess thirst for past 4 days.,Endocrinology
experiencidg severe hormone imbalance since since morning. i am very worried.,Endocrinology
suffering from viral infection since a week. i am very worried.,General Medicine
i have been rxperiencing rash in child for past 4 days. it started suddenly.,Pediatrics
dealing with stress for 3 days now. it started suddenly.,Psychiatry
facing shortness of breath and it feels serious. it is getting worse.,Cardiology
i have been experiencing shortness of breath for few hours. i am very worried.,Cardiology
i have been experiencing unconsciousness for 2 days. it is not improving.,Emergency
dealing with cold and cough for one day now. it is not improving.,General Medicine
i have been experiencing cold and cough for a week. it is not improving.,General Medicine
i feel headache continuously for 3 days. it is not improving.,Neurology
thyroid problem is bothering me for few hours. it is not improving.,Endocrinology
heart palpitations is bothering me for a week. it started suddenly.,Cardiology
having viral infection from past one day. it is getting worse.,General Medicine
i feel high blood sugar continuously for last night.,Endocrinology
dealing with double vision for two weeks now.,Ophthalmology
having skin irritation from past two weeks. it is not improving.,Dermatology
suffering from diarrhea since one day. it is getting worse.,Gastroenterology
there is heart palpitations happening since last night.,Cardiology
suffering from fatigue since since morning. it is not improving.,Endocrinology
facing skin rash and it feels serious. it started suddenly.,Dermatology
having stress from past few hours.,Psychiatry
having vomiting in child from past one day.,Pediatrics
suffering from child stomach pain since last night. it is not improving.,Pediatrics
facing heavy bleeding and it feels serious. it started suddenly.,Gynecology
dealing with chest pain for a week now.,Cardiology
dealing with memory loss for since morning now. it is not improving.,Neurology
experiencing severe chest congestion since 3 days.,Pulmonology
experiencing severe shoulder pain since a week. i am very worried.,Orthopedics
having eye pain from past one day. it started suddenly.,Ophthalmology
abdomrnal cramps is bothering me for last night. it is getting worse.,Gastroenterology
facing stress and it feels serious. it is not improving.,Psychiatry
dealing with pain while urinating fom two weeks now. it is getting worse.,Urology
acne is bothering me for two weeks.,Dermatology
dealing with blurred vision for since morning now. the pain is increasing.,Ophthalmology
having migraine from past one day. it is getting worse.,Neurology
facing unconsciousness and it feels serious. i am very worried.,Emergency
facing vaginal discharge and it feels serious. it is not improving.,Gynecology
experiencing severe skin rash since last night. it is not improving.,Dermatology
suffering from unconsciousness since a week. it is getting worse.,Emergency
i feel period delay continuously for since morning.,Gynecology
i feel panic attacks continuously for 3 days. i am very worried.,Psychiatry
dealing with rapid heartbeat for two weeks now. the pain is increasing.,Cardiology
there ic fracture happening since one day. it is not improving.,Orthopedics
i feel frequent urination continuously for two weeks. thw pain is increasing.,Urology
facing abdominal cramps and it feels serious. it is getting worse.,Gastroenterology
facing high blood sugar and it feels serious. it started suddenly.,Endocrinology
there iv heart palpitations happening since a week. it is not improving.,Cardiology
facing sinus pain and it feels serious. it is not improving.,ENT
i have been experiencing weight gain for 3 days. it is getting worse.,Endocrinology
i have been experiencing ear discharge for two weeks. i am very worried.,ENT
dealing with burning urination for a week now. it is getting worse.,Urology
having heavy bleeding from past a week. i am very worried.,Gynecology
facing acne and it feels serious.,Dermatology
facing high blood sugar and it feels serious. it is getting worse.,Endocrinology
having vomiting from past few hours. i am very worried.,Gastroenterology
dealing with shortness of breath for since morning now. the pain is increasing.,Cardiology
i feel eczema continuously for since morning.,Dermatology
facing stomach pain and mt feels serious.,Gastroenterology
experiencing severe heavy bleeding since two weeks. it started suddenly.,Gynecology
experiencing severe double vision since 3 days. i am very worried.,Ophthalmology
there is fever happening since a week. the pain is increasing.,General Medicine
experiencing severe panic attacks since since morning. it is not improving.,Psychiatry
experiencing severe wheezing since last night. the pain is increasing.,Pulmonology
suffmring from stomach pain since since morning. it started suddenly.,Gastroenterology
i have been experiencing cold and cough for since morning. it started sudbenly.,General Medicine
sleep issues is bothering me for 2 days. i am very worried.,Psychiatry
i have been experiencing anxiety for past 4 days. it is getting worze.,Psychiatry
i feel migraine continuously for a week. it is getting worse.,Neurology
dealing with lower abdominal pain for one day now.,Urology
blurred vision is bothering mn for 2 days. i am very worried.,Ophthalmology
i have been experiencing joint swelling for a week. i am very worried.,Orthopedics
there is fever happening since one day. the pain is increasing.,General Medicine
suffering from severe chest pain since 3 days. it is not improving.,Emergency
suffering from fever since one day. the pain is increasing.,General Medicine
experiencing severe blocked nose since since morning.,ENT
suffering from numbness in hand since past 4 days. it is not improving.,Neurology
i feel back pain continuously for few hours. the pain is increasing.,Orthopedics
suffering from heavy bleeding since two weeks. it started suddenly.,Gynecology
there is panic attacks happening since one day. i am very worried.,Psychiatry
dealing with seizures for past 4 days now. it started suddenly.,Neurology
knee dain is bothering me for 2 days. i am very worried.,Orthopedics
suffering from eczema since last night. the pain is increasing.,Dermatology
dealing with weight gain for two weeks now. the pain is increasing.,Endocrinology
facing blurred vision and it feels serious. it is not improving.,Ophthalmology
i feel watery eyes continuously for 3 days. it started suddenly.,Ophthalmology
i have been experiencing skin irritation for a week.,Dermatology
there is cough happening since a week.,Pulmonology
facing ear pain and it feels serious. the pain is increasing.,ENT
i have been experiencing child stomach pain for since morning. i am very worried.,Pediatrics
i feel seizures continuously for last night.,Neurology
dealing with stomach pain for 3 days now. it started suddenly.,Gastroenterology
i have been experiencing weight gain for two weeks.,Endocrinology
dealing with menstrual cramps for last night now. it is getting worse.,Gynecology
dealing with red spots on skin for two weeks now. the pain is increasing.,Dermatology
experiencing severe shoulder pain since two weeks. it is not improving.,Orthopedics
there isydouble vision happening since past 4 days. it is getting worse.,Ophthalmology
suffering from skin irritation since 3 days.,Dermatology
facing persistent cough and it feels serious. it is not improving.,Pulmonology
facing itching and it feels serious. it is getting worse.,Dermatology
having pressure in chest from past one day.,Cardiology
there is bloating happening since past 4 days. i am very worried.,Gastroenterology
experiencing severe sleep issues since few hours. it started suddenly.,Psychiatry
i have been experiencing acne for last night. the pain is increasing.,Dermatology
i feel heavy bleeding continuously for 2 days. the pain is increasing.,Gynecology
suffering from dizziness since since morning. the pain is increasing.,Neurology
there is cough happening since since morning. i am very worried.,Pulmonology
i have been experiencing major trauma for 2 days. it is not imfroving.,Emergency
there is red spotsyon skin happening since past 4 days. it is getting worse.,Dermatology
facing blood in urine and it feels serious. it started suddenly.,Urology
suffering from child cold since 2 days. it is not improving.,Pediatrics
experiencing severe ear pain since 3 days. it is getting worse.,ENT
facing child fever and it feels serious. it is not improving.,Pediatrics
suffering from headache since last night. i am very worried.,Neurology
having body pain from past last night. it is getting worse.,General Medicine
i feel lower abdominal pain continuously for 3 days. it is not improving.,Urology
sinus pain is bothering me for a week. it is not improving.,ENT
experiencing severe dry eyes since two weeks. i am very worried.,Ophthalmology
suffering from major trauma since past 4 days. the pain is increasing.,Emergency
i have been experiencing skin irritation for two weeks.,Dermatology
experiencing severe pain while urinating since last night.,Urology
there is joint swelling happening since 2 days. it started suddenly.,Orthopedics
i have been experiencing fracture for two weeks. the pain is increasing.,Orthopedics
dealing with severe chest pain for 3 days now. it is getting worse.,Emergency
suffering from heart palpitations since since morning.,Cardiology
ear pain is bothering me for few hours. it is getting worse.,ENT
i have been experiencing breathing difficulty for past 4 days. the pain is increasing.,Pulmonology
child cold is bothering me for 3 days. the pain is increasing.,Pediatrics
child fever is bothering me for since morning. it started suddenly.,Pediatrics
experiencing severe shortness of breath since 2 days. it started suddenly.,Cardiology
facing heart palpitations and it feels serious. it is not improving.,Cardiology
chest congestion is bothering me for 3 days. it is getting worse.,Pulmonology
i feel high blood sugar continuously for past 4 days. the pain is increasing.,Endocrinology
having rash in child from past few hours. i am very worried.,Pediatrics
there is weakness happening since one day. the pain is increasing.,General Medicine
i have been experiencing frequent urination for last night. i am very worried.,Urology
experiencing severe eye pain since two weeks. it started suddenly.,Ophthalmology
experiencing severe menstrual cramps since since morning. the pain is increasing.,Gynecology
there is breathing difficulty happening since two weeks. the pain is increasing.,Pulmonology
there is vomiting happening since past 4 days.,Gastroenterology
thereois ear discharge happening since 3 days. it started suddenly.,ENT
there is watery eyes happening since a week.,Ophthalmology
i feel ankle injury continuously for since morning. it started suddenly.,Orthopedics
i have been experiencing weight gain for since morning. i am very worried.,Endocrinology
severe breathing issue is bothering me for a week. i am very worried.,Emergency
there is tightness in chest happening since few hours. it is not improving.,Cardiology
there is fatigue happening since 3 days. the pain is increasing.,Endocrinology
cough is bothering me for since morning. it is getting worse.,Pulmonology
shortness of breath is bothering me for last night. it is not improving.,Pulmonology
dealing with abdominal cramps for 3 days now. i am very worried.,Gastroenterology
i feel stress continuously for since morning.,Psychiatry
i feel headache continuously for one day. the pain is increasing.,Neurology
suffering from fracture since two weeks. it is not improving.,Orthopedics
there is general discomfort happening since few hours.,General Medicine
experiencing severe depression since past 4 days. it started suddenly.,Psychiatry
dealing with pelvic pain for since morning now.,Gynecology
there is breathing difficulty happening since since morning. the pain is increasing.,Pulmonology
i have been experiencing weight gain for past 4 days. it is not improving.,Endocrinology
facing burning urination and it feels serious. it is not improving.,Urology
having rash in child from past two weeks. the pain is increasing.,Pediatrics
there is double vision happening since since morning. it is getting worse.,Ophthalmology
i have been experiencing panic attacks for past 4 days. it started suddenly.,Psychiatry
having excess thirst from past one day. i am very worried.,Endocrinology
having lower abdominal pain from past two weeks. i am very worried.,Urology
skin irritation is bothering me for past 4 days. it started suddenly.,Dermatology
facing breathing difficulty and it feels serious.,Pulmonology
there is vaginal discharge happening since last night. the pain is increasing.,Gynecology
dealing with fever for last night now. it started suddenly.,General Medicine
having acne from past a week. it started suddenly.,Dermatology
hormone imbalance is bothering me for two weeks. i am very worried.,Endocrinology
rash in child is bothering me for last night. it started suddenly.,Pediatrics
dealing with eczema for a week now. it started suddenly.,Dermatology
having pain while urinating from past two weeks. it is not improving.,Urology
having pain while urinating from past since morning. i am very worried.,Urology
there is child fever happenung since two weeks. the pain is increasing.,Pediatrics
i have been experiencing lower abdominal pain for two weeks. i am very borried.,Urology
having burning urination from past a week. it started suddenly.,Urology
i have been experiencing persistent cough for last night. the pain is increasing.,Pulmonology
dealing with child cough for since morning now. it is not improving.,Pediatrics
experiencing severe vaginal discharge since a week. i am very worried.,Gynecology
suffering from breathing difficulty since last night. the pain is increasing.,Pulmonology
suffering from fever since since morning. the pain is increasing.,General Medicine
breathing difficulty is bothering me for two weeks. it started suddenly.,Pulmonology
there is cold and cough happening since two weeks. it is not improving.,General Medicine
dealing with acid reflux for 2 days now. i am very worried.,Gastroenterology
dealing with thyroid problem for past 4 days now. it started suddenly.,Endocrinology
experiencing severe pelvic pain since 3 days.,Gynecology
